,Rating,Plays,Playing,Backlogs,Wishlist,Lists,Reviews,Release_Date,Genres,Release Year
0,4.5,21000,4100,5600,5500,4600,3000,"Feb 25, 2022","[""'Adventure'"", ""'RPG'""]",2022
1,4.4,35000,3100,5600,3000,5100,3000,"Mar 03, 2017","[""'Adventure'"", ""'Puzzle'""]",2017
2,4.3,25000,3500,7300,4000,3200,2100,"Dec 07, 2018","[""'Adventure'"", ""'Brawler'"", ""'Indie'"", ""'RPG'""]",2018
3,4.4,25000,2700,9600,2600,3400,2100,"Feb 24, 2017","[""'Adventure'"", ""'Indie'"", ""'Platform'""]",2017
4,4.2,32000,728,5700,2100,3900,2500,"Sep 15, 2015","[""'Adventure'"", ""'Indie'"", ""'RPG'"", ""'Turn Based Strategy'""]",2015
5,4.3,38000,2100,1300,265,2600,2700,"Nov 18, 2011","[""'Adventure'"", ""'Simulator'""]",2011
6,4.1,8700,1200,5300,4300,1800,1400,"Dec 25, 2020","[""'Adventure'"", ""'Indie'"", ""'RPG'"", ""'Turn Based Strategy'""]",2020
7,4.6,4300,4600,3000,5200,1900,1100,"May 12, 2023","[""'Adventure'""]",2023
8,4.3,20000,1300,7200,4000,3200,1400,"Feb 23, 2017","[""'Brawler'"", ""'RPG'""]",2017
9,4.4,15000,2600,6100,3500,3100,1700,"Oct 31, 2019","[""'Adventure'"", ""'RPG'"", ""'Turn Based Strategy'""]",2019
10,4.2,10000,791,4100,3700,2300,1400,"Oct 07, 2021","[""'Adventure'"", ""'Platform'""]",2021
11,4.4,34000,556,4700,1400,3300,1900,"Apr 18, 2011","[""'Adventure'"", ""'Platform'"", ""'Puzzle'"", ""'Shooter'""]",2011
12,4.2,25000,1200,5600,2900,3300,1700,"Apr 20, 2018","[""'Adventure'"", ""'Brawler'"", ""'RPG'""]",2018
13,4.3,4700,925,2500,2800,1300,1100,"Jan 25, 2023","[""'Adventure'"", ""'Brawler'"", ""'Music'"", ""'Platform'""]",2023
14,4.2,23000,1400,6700,2200,3200,1900,"Jan 25, 2018","[""'Adventure'"", ""'Indie'"", ""'Platform'""]",2018
15,4.5,20000,1200,6500,3800,3800,1600,"Mar 24, 2015","[""'Adventure'"", ""'RPG'""]",2015
16,3.7,9700,854,3200,3900,1700,1400,"Jul 19, 2022","[""'Adventure'"", ""'Indie'""]",2022
17,4.4,17000,2000,7400,2200,3100,1600,"Mar 12, 2015","[""'Adventure'"", ""'Brawler'"", ""'RPG'"", ""'Simulator'""]",2015
18,4.4,22000,2000,6600,3300,3500,2000,"Oct 26, 2018","[""'Adventure'"", ""'RPG'"", ""'Shooter'""]",2018
19,4.2,29000,824,3500,2300,3400,2000,"Oct 27, 2017","[""'Adventure'"", ""'Platform'""]",2017
20,4.1,32000,281,3200,1200,2300,1600,"Oct 10, 2007","[""'Platform'"", ""'Puzzle'"", ""'Shooter'""]",2007
21,3.8,35000,958,3700,757,2400,1700,"Sep 17, 2013","[""'Adventure'"", ""'Shooter'""]",2013
22,3.4,16000,1700,5700,3300,1700,1600,"Dec 09, 2020","[""'Adventure'"", ""'RPG'"", ""'Shooter'""]",2020
23,4.4,7100,857,2800,3900,2000,1200,"Nov 09, 2022","[""'Adventure'"", ""'Brawler'""]",2022
24,4.1,25000,692,3400,2400,2900,1700,"Sep 07, 2018","[""'Adventure'"", ""'Brawler'""]",2018
25,4.6,7300,1300,6000,3100,1300,874,"Mar 30, 2021","[""'Adventure'"", ""'Indie'"", ""'RPG'""]",2021
26,4.2,22000,959,5000,2500,2800,1400,"Mar 24, 2016","[""'Adventure'"", ""'RPG'""]",2016
27,4.4,4700,821,2700,2500,1700,815,"Jul 29, 2022","[""'Adventure'"", ""'RPG'""]",2022
28,4.1,24000,522,2900,881,2900,1400,"Jun 23, 1996","[""'Adventure'"", ""'Platform'""]",1996
29,4.1,21000,1300,5300,2900,2100,1400,"Sep 29, 2017","[""'Arcade'"", ""'Indie'"", ""'Platform'"", ""'Shooter'""]",2017
30,4.1,7000,1000,2900,3500,1800,1000,"Mar 25, 2022","[""'Adventure'"", ""'Platform'""]",2022
31,4.1,29000,1300,1300,907,2800,1800,"Dec 07, 2018","[""'Fighting'"", ""'Platform'""]",2018
32,4.2,7600,974,4900,4100,1700,784,"Apr 22, 2021","[""'Adventure'"", ""'RPG'""]",2021
33,4.3,19000,737,4300,2200,3100,1300,"Jan 25, 2019","[""'Adventure'"", ""'Shooter'""]",2019
34,4.2,2900,477,2600,2500,1000,578,"Oct 27, 2022","[""'Adventure'"", ""'Indie'""]",2022
35,2.6,16000,2900,1400,305,740,1600,"Sep 28, 2020","[""'Adventure'"", ""'RPG'""]",2020
36,4.2,14000,1500,5800,2400,2100,1200,"Jun 15, 2012","[""'Adventure'"", ""'RPG'"", ""'Visual Novel'""]",2012
37,3.9,12000,405,3300,3200,2200,1100,"May 06, 2021","[""'Adventure'"", ""'Shooter'""]",2021
38,4.6,9100,736,5700,3600,2000,1100,"May 28, 2019","[""'Adventure'"", ""'Indie'"", ""'Puzzle'"", ""'Simulator'""]",2019
39,4.3,18000,878,6000,1600,2300,1200,"Oct 19, 2010","[""'RPG'"", ""'Shooter'""]",2010
40,4.3,24000,546,3600,1300,3100,1200,"Nov 01, 2007","[""'Adventure'"", ""'Platform'""]",2007
41,4.0,21000,608,4700,1600,2000,1200,"May 12, 2016","[""'Puzzle'"", ""'Shooter'""]",2016
42,4.1,24000,2300,4200,1300,2000,1400,"Feb 26, 2016","[""'Indie'"", ""'RPG'"", ""'Simulator'"", ""'Strategy'""]",2016
43,4.5,9900,342,3400,2400,2600,841,"Sep 24, 2001","[""'Adventure'"", ""'Puzzle'""]",2001
44,4.1,15000,551,3300,2900,2900,1500,"Jun 19, 2020","[""'Adventure'"", ""'Shooter'""]",2020
45,4.3,19000,1300,7100,1800,2300,944,"May 19, 2015","[""'Adventure'"", ""'RPG'""]",2015
46,4.3,15000,411,3200,1300,2700,880,"Jan 11, 2005","[""'Shooter'""]",2005
47,4.2,14000,819,5500,2800,2200,1200,"Mar 19, 2020","[""'Shooter'""]",2020
48,3.9,14000,675,5700,2500,1900,812,"Oct 29, 2009","[""'Brawler'"", ""'Shooter'""]",2009
49,4.4,2200,428,1400,2000,624,630,"Jan 26, 2023","[""'Indie'"", ""'Platform'""]",2023
50,3.8,26000,689,3500,1200,2000,1200,"Nov 10, 2011","[""'Adventure'"", ""'RPG'""]",2011
51,4.3,14000,586,4800,2700,2200,1000,"Mar 08, 2019","[""'Adventure'"", ""'Brawler'""]",2019
52,4.3,20000,543,3500,1600,2600,958,"Nov 21, 1998","[""'Adventure'"", ""'RPG'""]",1998
53,2.6,9000,1200,357,176,595,1100,"Oct 04, 2022","[""'Shooter'""]",2022
54,4.1,18000,661,3100,1800,2000,1200,"Sep 15, 2016","[""'Adventure'"", ""'RPG'"", ""'Turn Based Strategy'""]",2016
55,3.8,4700,1000,3900,2800,1100,641,"Nov 12, 2021","[""'Adventure'"", ""'RPG'"", ""'Turn Based Strategy'""]",2021
56,4.1,13000,998,4800,2500,2300,959,"Apr 10, 2020","[""'Adventure'"", ""'RPG'""]",2020
57,4.1,3700,562,2200,2700,1000,644,"Jun 16, 2022","[""'Indie'"", ""'Platform'"", ""'Shooter'"", ""'Visual Novel'""]",2022
58,2.8,20000,1100,546,54,967,1400,"Jul 25, 2017","[""'Adventure'"", ""'RPG'"", ""'Shooter'"", ""'Strategy'""]",2017
59,4.3,16000,479,2900,1600,2400,857,"Sep 22, 2011","[""'Adventure'"", ""'RPG'""]",2011
60,4.2,14000,340,3500,1900,2300,795,"Sep 03, 1998","[""'Adventure'"", ""'Puzzle'"", ""'Tactical'""]",1998
61,3.7,8100,1000,899,469,987,878,"Dec 17, 2021","[""'Arcade'"", ""'Indie'"", ""'RPG'""]",2021
62,3.7,16000,904,4400,1500,1700,1200,"Nov 15, 2019","[""'Adventure'""]",2019
63,4.1,6500,611,2800,2600,1200,790,"Oct 19, 2021","[""'Adventure'"", ""'Card & Board Game'"", ""'Indie'"", ""'Puzzle'"", ""'Strategy'""]",2021
64,4.0,20000,406,4700,1400,2100,744,"Aug 21, 2007","[""'Adventure'"", ""'Puzzle'"", ""'RPG'"", ""'Shooter'""]",2007
65,3.9,4200,527,3000,3100,1000,582,"Mar 16, 2022","[""'Adventure'"", ""'Indie'"", ""'Puzzle'"", ""'RPG'""]",2022
66,3.0,19000,681,693,276,993,1100,"Aug 04, 2020","[""'Indie'"", ""'Platform'"", ""'Sport'""]",2020
67,3.5,20000,236,4900,1100,1700,928,"Feb 26, 2013","[""'Adventure'"", ""'Shooter'""]",2013
68,3.9,12000,448,3300,3200,1900,1200,"Nov 12, 2020","[""'Adventure'"", ""'Brawler'""]",2020
69,4.3,6900,939,5600,3100,1900,741,"Jan 16, 2020","[""'Adventure'"", ""'RPG'"", ""'Turn Based Strategy'""]",2020
70,4.2,9700,1100,2900,2400,1500,855,"Mar 25, 2021","[""'Adventure'"", ""'Platform'"", ""'Puzzle'""]",2021
71,4.5,10000,569,5500,2400,2200,520,"Mar 11, 1995","[""'Adventure'"", ""'RPG'""]",1995
72,3.6,23000,1900,1500,1200,1800,1600,"Mar 19, 2020","[""'Simulator'""]",2020
73,4.2,20000,252,2000,524,2400,924,"Nov 21, 1990","[""'Adventure'"", ""'Platform'""]",1990
74,4.4,11000,172,3100,1600,2100,666,"Nov 13, 2001","[""'Adventure'""]",2001
75,4.4,14000,385,4600,2100,2600,743,"Apr 27, 2000","[""'Adventure'""]",2000
76,3.9,16000,391,3700,1500,2200,1000,"Jan 24, 2017","[""'Adventure'"", ""'Puzzle'"", ""'Shooter'""]",2017
77,4.3,13000,876,3100,1800,1600,944,"May 23, 2018","[""'Adventure'"", ""'RPG'""]",2018
78,3.5,20000,75,839,263,1700,983,"Sep 13, 1985","[""'Adventure'"", ""'Platform'""]",1985
79,4.2,19000,249,2400,1700,2400,815,"Jun 14, 2013","[""'Adventure'"", ""'Shooter'""]",2013
80,4.0,21000,797,2600,687,1400,1200,"May 16, 2011","[""'Adventure'"", ""'Indie'"", ""'Platform'"", ""'RPG'"", ""'Simulator'"", ""'Strategy'""]",2011
81,4.4,10000,346,3900,1900,2100,714,"Mar 20, 1997","[""'Adventure'"", ""'Platform'"", ""'RPG'""]",1997
82,4.2,10000,653,5500,2000,2100,723,"Aug 27, 1994","[""'Adventure'"", ""'RPG'"", ""'Turn Based Strategy'""]",1994
83,3.8,16000,596,5200,1400,1700,922,"Sep 01, 2015","[""'Adventure'"", ""'Shooter'"", ""'Tactical'""]",2015
84,4.3,12000,331,3400,999,2500,843,"Mar 19, 1994","[""'Adventure'"", ""'Platform'"", ""'Shooter'""]",1994
85,4.1,21000,310,2700,846,1800,765,"Oct 26, 2004","[""'Adventure'"", ""'Racing'"", ""'Shooter'""]",2004
86,4.0,22000,840,914,709,1800,988,"Apr 28, 2017","[""'Arcade'"", ""'Racing'""]",2017
87,3.5,12000,322,2900,1200,1400,735,"Aug 23, 2001","[""'Brawler'""]",2001
88,4.0,16000,278,2800,1100,1600,819,"Oct 23, 2012","[""'Arcade'"", ""'Indie'"", ""'Shooter'""]",2012
89,4.1,9400,696,3300,1600,1600,819,"Apr 19, 2007","[""'RPG'"", ""'Simulator'"", ""'Visual Novel'""]",2007
90,3.2,22000,445,448,222,1100,1300,"May 24, 2016","[""'Shooter'"", ""'Strategy'""]",2016
91,4.0,13000,1100,3900,1700,2000,1100,"Jul 25, 2019","[""'Adventure'"", ""'RPG'"", ""'Strategy'"", ""'Tactical'"", ""'Turn Based Strategy'""]",2019
92,4.3,4100,505,3700,2700,1300,468,"Nov 28, 2019","[""'Adventure'"", ""'Simulator'"", ""'Strategy'"", ""'Tactical'""]",2019
93,3.9,19000,271,2800,783,1600,733,"Aug 25, 2009","[""'Adventure'"", ""'Brawler'""]",2009
94,4.0,15000,375,3400,1100,1500,813,"Nov 19, 1998","[""'Adventure'"", ""'Puzzle'"", ""'Shooter'""]",1998
95,4.5,6300,297,4100,2100,1800,571,"Apr 20, 2006","[""'RPG'"", ""'Turn Based Strategy'""]",2006
96,3.7,15000,445,3800,1100,2000,931,"Jul 19, 2002","[""'Adventure'"", ""'Platform'""]",2002
97,4.3,8300,921,4100,2200,1600,825,"May 29, 2020","[""'RPG'""]",2020
98,3.9,22000,333,1800,419,1300,801,"Nov 17, 2009","[""'Shooter'""]",2009
99,4.1,18000,209,3200,791,1800,710,"Oct 18, 2011","[""'Adventure'"", ""'Brawler'""]",2011
100,4.2,4900,330,3200,2500,1300,582,"Aug 24, 2021","[""'Adventure'"", ""'Platform'""]",2021
101,3.6,15000,763,4600,1600,1400,702,"Feb 28, 2017","[""'Adventure'"", ""'RPG'"", ""'Shooter'""]",2017
102,2.1,15000,1300,371,62,561,1500,"Oct 27, 2009","[""'MOBA'"", ""'RPG'"", ""'Strategy'""]",2009
103,3.6,11000,645,6000,1500,1400,658,"Aug 27, 2019","[""'Adventure'"", ""'Shooter'""]",2019
104,3.8,6300,497,2500,1500,1200,746,"Oct 26, 2021","[""'Adventure'"", ""'RPG'"", ""'Shooter'""]",2021
105,3.7,11000,490,3900,1200,1400,884,"Jan 21, 2016","[""'Adventure'"", ""'Brawler'"", ""'RPG'""]",2016
106,3.5,13000,334,2200,797,1100,966,"Nov 25, 2010","[""'Adventure'"", ""'Point-and-Click'"", ""'Visual Novel'""]",2010
107,3.3,7500,638,1900,1100,1100,764,"Nov 15, 2021","[""'Adventure'"", ""'Shooter'""]",2021
108,3.6,3800,666,2100,2500,672,422,"Aug 11, 2022","[""'Adventure'"", ""'Brawler'"", ""'Indie'"", ""'RPG'"", ""'Simulator'"", ""'Strategy'""]",2022
109,2.7,7000,324,428,218,542,621,"Jul 19, 2022","[""'Fighting'""]",2022
110,4.0,13000,428,3900,862,1500,832,"Aug 15, 2017","[""'Adventure'"", ""'Platform'""]",2017
111,3.9,18000,591,611,180,1100,1200,"Oct 09, 2007","[""'Shooter'""]",2007
112,3.4,3000,825,1300,2000,645,483,"Feb 10, 2023","[""'Adventure'"", ""'RPG'""]",2023
113,3.3,16000,150,1700,529,878,977,"Sep 22, 2017","[""'Adventure'"", ""'Indie'"", ""'Visual Novel'""]",2017
114,3.2,10000,184,2900,1800,1700,891,"Apr 03, 2020","[""'Adventure'"", ""'Shooter'""]",2020
115,4.1,14000,430,3800,1100,2000,555,"Nov 21, 1991","[""'Adventure'"", ""'Puzzle'""]",1991
116,3.9,8300,501,3100,1800,1600,823,"Dec 01, 2017","[""'Adventure'"", ""'RPG'""]",2017
117,4.1,11000,216,2500,1700,1300,869,"Apr 18, 2019","[""'Adventure'"", ""'Arcade'"", ""'Indie'"", ""'Platform'"", ""'Strategy'""]",2019
118,4.1,13000,488,2200,1100,1500,717,"Sep 15, 2005","[""'Adventure'"", ""'Point-and-Click'"", ""'Puzzle'"", ""'Visual Novel'""]",2005
119,4.1,7800,300,2800,1900,1500,534,"Feb 23, 1999","[""'Adventure'"", ""'Puzzle'""]",1999
120,4.4,12000,154,3300,1900,1700,498,"Oct 18, 2005","[""'Adventure'"", ""'Platform'"", ""'Puzzle'""]",2005
121,3.5,17000,243,2400,959,1600,883,"Jan 29, 2015","[""'Adventure'"", ""'Puzzle'"", ""'RPG'""]",2015
122,3.2,18000,483,3500,874,1200,867,"Nov 09, 2015","[""'RPG'"", ""'Shooter'""]",2015
123,3.5,13000,485,3100,1200,1100,872,"Apr 02, 2015","[""'Adventure'"", ""'RPG'""]",2015
124,4.1,16000,208,3100,1300,2100,761,"May 10, 2016","[""'Adventure'"", ""'Shooter'""]",2016
125,3.6,19000,399,3200,580,1200,824,"Sep 18, 2012","[""'RPG'"", ""'Shooter'""]",2012
126,3.9,16000,309,3700,999,1300,591,"Oct 09, 2012","[""'Adventure'"", ""'Puzzle'"", ""'RPG'""]",2012
127,4.1,10000,776,4100,3500,1600,692,"Jul 17, 2020","[""'Adventure'"", ""'Brawler'"", ""'RPG'""]",2020
128,3.8,21000,65,609,287,1500,905,"Jan 31, 2008","[""'Fighting'"", ""'Platform'""]",2008
129,4.5,10000,147,2800,1500,1800,533,"Nov 17, 2004","[""'Adventure'"", ""'Shooter'"", ""'Tactical'""]",2004
130,4.0,16000,128,1600,424,1800,645,"Oct 23, 1988","[""'Platform'""]",1988
131,4.1,4500,1200,812,1100,947,675,"Sep 09, 2022","[""'Platform'"", ""'Shooter'""]",2022
132,4.0,8000,411,4800,1400,1300,565,"Apr 19, 2005","[""'Adventure'"", ""'Platform'"", ""'Puzzle'""]",2005
133,3.5,5100,420,2900,2100,1000,540,"Sep 14, 2021","[""'Adventure'"", ""'Shooter'""]",2021
134,3.8,15000,304,4100,897,1400,713,"Jun 23, 2015","[""'Adventure'"", ""'Brawler'""]",2015
135,3.9,14000,104,3100,1900,1700,598,"Mar 13, 2012","[""'Adventure'"", ""'Platform'""]",2012
136,4.1,13000,203,2500,772,1500,933,"Oct 28, 2016","[""'Adventure'"", ""'Shooter'""]",2016
137,4.3,2200,257,1500,2400,661,328,"Jan 27, 2023","[""'Adventure'"", ""'RPG'"", ""'Shooter'""]",2023
138,3.8,3400,346,2200,2700,733,359,"Feb 08, 2022","[""'Brawler'"", ""'Fighting'"", ""'Indie'""]",2022
139,4.3,14000,281,2000,782,1300,826,"Jul 26, 2014","[""'Adventure'"", ""'Shooter'""]",2014
140,4.6,4800,561,3300,2100,1300,364,"Oct 15, 2019","[""'Adventure'"", ""'RPG'"", ""'Turn Based Strategy'""]",2019
141,3.4,19000,664,785,124,1000,721,"Jul 06, 2015","[""'Indie'"", ""'Racing'"", ""'Sport'""]",2015
142,4.2,14000,258,2900,1900,1700,544,"May 18, 2010","[""'Adventure'"", ""'RPG'"", ""'Shooter'""]",2010
143,3.8,4200,226,1100,934,998,543,"Jun 16, 2022","[""'Arcade'"", ""'Brawler'"", ""'Indie'""]",2022
144,3.7,2000,105,1100,417,452,501,"Mar 31, 2023","[""'Indie'"", ""'Point-and-Click'"", ""'Simulator'"", ""'Visual Novel'""]",2023
145,3.9,21000,107,541,184,1300,793,"Apr 10, 2008","[""'Racing'""]",2008
146,3.5,17000,208,3100,593,1000,512,"Mar 04, 2013","[""'Adventure'"", ""'Platform'"", ""'Puzzle'"", ""'Shooter'""]",2013
147,4.3,15000,144,2900,1500,2000,668,"May 23, 2010","[""'Adventure'"", ""'Platform'""]",2010
148,3.9,13000,221,2200,588,1500,644,"Nov 18, 1994","[""'Adventure'"", ""'Platform'""]",1994
149,3.9,6500,807,967,1300,927,617,"Jun 11, 2021","[""'Fighting'""]",2021
150,4.0,18000,249,1200,425,1400,677,"Sep 16, 2004","[""'Adventure'"", ""'RPG'"", ""'Turn Based Strategy'""]",2004
151,3.6,2000,245,2100,2400,781,393,"Oct 28, 2022","[""'Brawler'""]",2022
152,3.5,13000,249,2700,1500,1200,752,"May 25, 2018","[""'Adventure'"", ""'Puzzle'""]",2018
153,3.5,18000,119,964,335,1100,625,"May 15, 2006","[""'Adventure'"", ""'Platform'""]",2006
154,4.1,9500,384,3400,1100,1800,389,"Jul 19, 2001","[""'Adventure'"", ""'RPG'""]",2001
155,3.5,15000,155,2600,967,1100,452,"Jul 21, 2010","[""'Adventure'"", ""'Indie'"", ""'Platform'"", ""'Puzzle'""]",2010
156,3.9,13000,109,2000,793,641,678,"Oct 31, 2018","[""'Adventure'"", ""'Indie'"", ""'RPG'"", ""'Turn Based Strategy'""]",2018
157,3.3,12000,410,3700,1300,1300,649,"Nov 29, 2016","[""'Adventure'"", ""'RPG'""]",2016
158,3.9,6800,1200,2200,1400,880,505,"Mar 26, 2021","[""'Adventure'"", ""'Brawler'"", ""'RPG'""]",2021
159,4.3,3200,273,2900,1500,1300,396,"Jun 09, 2005","[""'Adventure'"", ""'Puzzle'"", ""'Shooter'""]",2005
160,3.8,11000,840,3300,1700,945,501,"Aug 06, 2018","[""'Adventure'"", ""'Indie'"", ""'Platform'""]",2018
161,3.7,17000,210,2200,780,1100,577,"Nov 28, 2012","[""'Adventure'"", ""'Shooter'""]",2012
162,4.0,8800,171,2400,888,1500,600,"Nov 17, 2002","[""'Adventure'"", ""'Platform'"", ""'Puzzle'"", ""'Shooter'""]",2002
163,4.4,3800,551,1900,1500,771,634,"Sep 03, 2020","[""'Indie'"", ""'Shooter'""]",2020
164,3.8,3400,637,2600,2600,949,405,"Feb 18, 2022","[""'Adventure'"", ""'RPG'""]",2022
165,4.2,13000,270,3100,1600,1800,447,"Dec 13, 2002","[""'Adventure'"", ""'Puzzle'"", ""'RPG'""]",2002
166,4.1,16000,288,1500,515,1500,671,"Sep 13, 2008","[""'Adventure'"", ""'RPG'"", ""'Turn Based Strategy'""]",2008
167,4.3,7500,367,3900,1400,1800,368,"Jul 07, 2000","[""'RPG'"", ""'Turn Based Strategy'""]",2000
168,4.2,2800,398,2900,2200,820,399,"Jul 26, 2021","[""'Brawler'"", ""'RPG'""]",2021
169,3.8,16000,138,577,90,823,647,"May 05, 2009","[""'Puzzle'"", ""'Real Time Strategy'"", ""'Simulator'"", ""'Strategy'"", ""'Tactical'""]",2009
170,3.9,11000,306,2000,662,1100,813,"Jul 26, 2012","[""'Adventure'"", ""'Point-and-Click'"", ""'Visual Novel'""]",2012
171,4.0,7300,353,4800,1300,1300,413,"May 04, 2017","[""'Adventure'"", ""'Puzzle'"", ""'Shooter'""]",2017
172,3.9,10000,172,2800,1100,1500,523,"Jun 29, 2016","[""'Adventure'"", ""'Indie'"", ""'Platform'"", ""'Puzzle'""]",2016
173,4.3,2800,378,3200,1600,1200,305,"Feb 11, 1998","[""'RPG'""]",1998
174,3.9,12000,250,2500,1400,831,525,"Aug 08, 2013","[""'Indie'"", ""'Point-and-Click'"", ""'Puzzle'"", ""'Simulator'""]",2013
175,3.7,9200,306,4200,1200,1100,471,"Apr 28, 2017","[""'Adventure'"", ""'Platform'"", ""'Puzzle'""]",2017
176,3.7,5800,832,4100,1700,1100,534,"Feb 20, 2020","[""'Adventure'"", ""'Brawler'"", ""'RPG'""]",2020
177,3.2,15000,632,623,94,624,899,"Aug 21, 2012","[""'Shooter'"", ""'Tactical'""]",2012
178,3.0,1800,225,1000,1300,440,356,"Feb 21, 2023","[""'Adventure'"", ""'RPG'"", ""'Shooter'""]",2023
179,3.1,12000,224,2000,664,1300,654,"Mar 05, 2009","[""'Adventure'"", ""'Puzzle'"", ""'Shooter'""]",2009
180,4.1,4000,168,1300,1600,683,427,"Apr 27, 2022","[""'Adventure'"", ""'Simulator'""]",2022
181,3.5,14000,146,2500,950,929,496,"Nov 11, 2008","[""'Adventure'"", ""'Platform'"", ""'Shooter'""]",2008
182,4.5,1600,145,493,414,372,353,"Apr 25, 2023","[""'Adventure'"", ""'RPG'""]",2023
183,4.0,12000,260,3000,1500,1100,370,"Nov 19, 2006","[""'Adventure'"", ""'Puzzle'"", ""'RPG'""]",2006
184,3.8,13000,182,1300,494,1400,598,"Nov 15, 2001","[""'Shooter'""]",2001
185,3.9,7600,375,3500,1200,1300,641,"Dec 07, 2017","[""'Adventure'"", ""'RPG'""]",2017
186,3.9,8500,288,2400,890,1100,770,"Jan 12, 2017","[""'Adventure'"", ""'Point-and-Click'"", ""'Visual Novel'""]",2017
187,3.7,15000,242,2600,820,1300,607,"Oct 29, 2013","[""'Adventure'"", ""'Platform'""]",2013
188,4.1,1200,356,1200,2400,563,292,"Apr 28, 2023","[""'Adventure'""]",2023
189,4.0,16000,158,550,371,1500,639,"Nov 21, 2001","[""'Fighting'"", ""'Platform'""]",2001
190,3.9,8600,112,2900,1500,1400,491,"Jun 12, 2008","[""'Adventure'"", ""'Shooter'"", ""'Tactical'""]",2008
191,4.1,7400,556,2100,1600,1000,565,"Feb 12, 2021","[""'Adventure'"", ""'Platform'""]",2021
192,4.3,1500,259,1200,1000,652,295,"Nov 15, 2022","[""'Adventure'"", ""'RPG'""]",2022
193,4.4,7400,185,1600,576,980,489,"Jan 24, 2006","[""'Adventure'"", ""'Brawler'"", ""'Shooter'""]",2006
194,4.1,4600,364,2700,1200,938,546,"Sep 17, 2019","[""'Adventure'"", ""'Puzzle'"", ""'Visual Novel'""]",2019
195,4.2,5700,191,2400,1600,1300,384,"May 23, 2003","[""'Adventure'"", ""'Puzzle'""]",2003
196,4.1,6700,172,3700,2200,1300,418,"Sep 20, 2014","[""'Brawler'""]",2014
197,4.2,12000,396,2200,672,1200,521,"Jun 16, 2011","[""'Adventure'"", ""'Puzzle'"", ""'RPG'""]",2011
198,4.3,7000,309,4400,2500,1400,419,"Mar 10, 2020","[""'Adventure'"", ""'Platform'""]",2020
199,4.2,4500,375,2800,1500,1200,363,"Feb 20, 2003","[""'RPG'""]",2003
200,3.7,11000,59,980,269,1400,650,"Nov 21, 1992","[""'Adventure'"", ""'Platform'""]",1992
201,4.3,5300,212,3000,2700,1200,426,"Oct 18, 2018","[""'Adventure'"", ""'Indie'"", ""'Puzzle'""]",2018
202,4.0,8100,366,3100,1800,1000,614,"Oct 05, 2017","[""'Adventure'"", ""'Indie'"", ""'Platform'""]",2017
203,3.9,9900,323,3000,1000,1300,475,"Nov 04, 2004","[""'Adventure'"", ""'Puzzle'"", ""'RPG'""]",2004
204,4.3,7600,225,2900,1300,1600,381,"Nov 17, 2002","[""'Adventure'"", ""'Platform'"", ""'Puzzle'"", ""'Shooter'""]",2002
205,3.6,13000,155,1200,511,1200,580,"Nov 03, 2011","[""'Platform'""]",2011
206,2.8,2200,218,764,631,367,429,"Dec 13, 2022","[""'Shooter'""]",2022
207,3.8,1700,304,1400,1500,517,294,"Dec 13, 2022","[""'RPG'""]",2022
208,4.2,5800,281,3100,1600,1100,367,"Jul 26, 2007","[""'Arcade'"", ""'RPG'""]",2007
209,3.8,16000,42,767,332,1200,531,"Nov 10, 2009","[""'Shooter'""]",2009
210,4.1,11000,180,2900,1300,1500,485,"Nov 22, 2013","[""'Adventure'"", ""'Puzzle'"", ""'RPG'""]",2013
211,4.0,13000,121,1200,542,1400,526,"Apr 24, 2012","[""'Adventure'"", ""'Point-and-Click'""]",2012
212,3.8,17000,47,497,180,1000,549,"Nov 14, 2005","[""'Racing'""]",2005
213,1.6,7100,65,1800,589,723,675,"Jan 25, 2003","[""'Adventure'"", ""'Brawler'""]",2003
214,3.8,3800,314,2000,1500,830,393,"Jul 20, 2021","[""'Adventure'"", ""'Brawler'"", ""'Indie'"", ""'RPG'""]",2021
215,3.9,8700,433,3300,2400,1300,505,"Sep 20, 2019","[""'Adventure'""]",2019
216,3.3,11000,164,1700,523,1400,500,"Feb 21, 1986","[""'Adventure'""]",1986
217,4.0,6200,530,2100,1000,912,496,"Nov 01, 2009","[""'Adventure'"", ""'RPG'"", ""'Strategy'"", ""'Visual Novel'""]",2009
218,4.1,6200,180,2000,1400,1300,317,"Feb 05, 2009","[""'Adventure'"", ""'RPG'""]",2009
219,4.0,11000,203,2500,724,1000,401,"Aug 30, 2013","[""'Adventure'"", ""'Platform'""]",2013
220,3.9,14000,106,1700,596,1600,433,"Oct 13, 2009","[""'Adventure'"", ""'Platform'"", ""'Shooter'""]",2009
221,4.3,2000,216,2100,1800,914,335,"Sep 24, 2021","[""'Adventure'"", ""'Brawler'"", ""'RPG'""]",2021
222,3.8,12000,536,2700,939,975,441,"Jan 26, 2018","[""'Adventure'"", ""'RPG'""]",2018
223,3.3,3900,28,1100,833,586,473,"Aug 26, 2020","[""'Adventure'"", ""'Indie'"", ""'Visual Novel'""]",2020
224,3.0,1800,104,913,1100,425,308,"Oct 14, 2022","[""'Adventure'"", ""'Indie'"", ""'Puzzle'""]",2022
225,2.9,15000,130,1400,574,930,465,"Nov 13, 2007","[""'Adventure'"", ""'Platform'""]",2007
