,Rating,Plays,Playing,Backlogs,Wishlist,Lists,Reviews,Release_Date,Genres,Release Year
12767,3.2,0,0,0,0,1,0,"Jul 29, 2010","[""'Visual Novel'""]",2010
12768,3.2,3,0,0,0,0,0,"Dec 31, 1997",[],1997
12769,3.2,1,1,0,0,2,0,"Nov 09, 2022","[""'Adventure'"", ""'Indie'""]",2022
12770,3.2,7,0,1,0,1,0,"Mar 02, 2003","[""'Simulator'""]",2003
12771,3.2,1,0,1,0,0,0,"Aug 02, 2018","[""'Platform'"", ""'Puzzle'""]",2018
12772,3.2,0,0,0,0,0,0,TBD,[],2024
12773,2.8,10,2,5,8,2,0,"Jul 28, 2022","[""'Adventure'"", ""'Indie'"", ""'Puzzle'"", ""'Simulator'"", ""'Strategy'""]",2022
12774,3.3,3,0,0,1,0,1,TBD,[],2024
12775,3.2,1,0,0,0,0,0,"Sep 30, 2014","[""'Arcade'"", ""'Fighting'"", ""'Sport'""]",2014
12776,3.2,0,0,0,1,0,0,TBD,"[""'Shooter'""]",2024
12777,3.2,1,0,0,0,0,0,TBD,[],2024
12778,3.2,1,0,1,0,0,0,TBD,"[""'Shooter'""]",2024
12779,2.7,8,0,6,6,1,0,"Feb 02, 2020","[""'Indie'""]",2020
12780,3.2,0,1,3,3,1,0,"Sep 16, 2022","[""'Adventure'"", ""'Indie'"", ""'Simulator'"", ""'Strategy'""]",2022
12781,3.2,0,0,2,0,0,0,"Dec 31, 1989","[""'Sport'""]",1989
12782,3.2,0,0,0,1,4,0,"Dec 31, 1989","[""'Arcade'"", ""'Platform'""]",1989
12783,3.2,1,0,1,0,0,0,"Jan 24, 2019","[""'RPG'""]",2019
12784,3.2,1,0,3,1,1,1,"Mar 31, 1995","[""'Adventure'""]",1995
12785,3.2,2,0,0,0,1,0,TBD,[],2024
12786,3.2,0,0,0,1,0,0,"Aug 14, 2014","[""'Puzzle'"", ""'Strategy'""]",2014
12787,3.2,3,0,1,0,0,0,TBD,"[""'Simulator'""]",2024
12788,3.2,0,0,1,0,0,0,"Mar 04, 2021","[""'Platform'"", ""'Puzzle'""]",2021
12789,3.2,0,0,0,1,1,0,TBD,"[""'Visual Novel'""]",2024
12790,3.2,1,0,0,0,1,0,"Jun 16, 2016","[""'Indie'"", ""'Pinball'""]",2016
12791,3.2,1,0,0,0,0,0,"Sep 03, 2021","[""'Adventure'""]",2021
12792,3.2,0,0,1,0,1,0,TBD,"[""'Indie'""]",2024
12793,3.2,1,0,0,0,0,0,"Oct 06, 2021","[""'Indie'"", ""'Puzzle'""]",2021
12794,3.2,0,0,0,1,3,0,"Sep 13, 2009","[""'Shooter'""]",2009
12795,3.2,1,0,1,0,4,1,"Nov 01, 2021",[],2021
12796,3.2,4,0,0,0,0,0,"Dec 01, 2016","[""'Indie'""]",2016
12797,3.0,6,0,10,14,8,0,"Nov 10, 2002","[""'Shooter'"", ""'Simulator'""]",2002
12798,3.2,2,0,0,1,2,1,"Nov 30, 2007","[""'Adventure'""]",2007
12799,3.2,3,0,1,0,2,0,"Oct 31, 2011","[""'Adventure'""]",2011
12800,3.2,1,0,0,0,1,0,TBD,"[""'RPG'"", ""'Simulator'"", ""'Strategy'""]",2024
12801,3.2,2,0,7,6,6,0,"Oct 17, 2003","[""'Adventure'""]",2003
12802,3.2,1,0,0,0,1,0,TBD,"[""'Shooter'""]",2024
12803,2.4,15,0,36,11,11,1,"Sep 06, 2018","[""'Adventure'"", ""'Indie'"", ""'Platform'"", ""'Puzzle'""]",2018
12804,2.3,55,0,11,1,3,2,"Mar 12, 2013","[""'Arcade'""]",2013
12805,3.2,0,0,0,1,0,0,"May 30, 2019","[""'Arcade'"", ""'Platform'"", ""'Puzzle'""]",2019
12806,3.2,1,0,0,0,0,0,"May 13, 2020","[""'Adventure'"", ""'Indie'"", ""'Strategy'""]",2020
12807,3.2,4,0,2,0,1,0,"Nov 27, 2000","[""'Simulator'""]",2000
12808,3.7,9,1,8,15,11,2,"Sep 09, 2021","[""'Adventure'"", ""'Indie'"", ""'Platform'""]",2021
12809,3.2,0,0,1,3,0,0,"Nov 04, 2021","[""'Adventure'"", ""'Indie'""]",2021
12810,3.2,1,0,0,0,1,0,"Jul 14, 2016","[""'Indie'"", ""'Music'""]",2016
12811,3.2,1,0,1,0,0,0,"Oct 11, 2016","[""'Adventure'""]",2016
12812,3.2,0,0,0,1,0,0,"Jul 31, 2017","[""'Adventure'"", ""'Indie'""]",2017
12813,3.2,0,0,0,0,1,0,TBD,[],2024
12814,3.2,0,0,1,0,0,0,"Dec 31, 1987","[""'Adventure'""]",1987
12815,3.2,0,0,1,0,0,0,"Jul 23, 2018","[""'Adventure'"", ""'Simulator'"", ""'Sport'""]",2018
12816,3.2,0,0,0,0,0,0,"Dec 31, 2022","[""'Adventure'"", ""'Indie'"", ""'RPG'"", ""'Simulator'"", ""'Strategy'""]",2022
12817,3.2,0,0,4,0,0,0,"Jun 05, 2020","[""'Adventure'"", ""'Indie'"", ""'RPG'"", ""'Shooter'"", ""'Strategy'""]",2020
12818,3.2,4,0,4,0,1,0,"Mar 22, 2017","[""'Simulator'"", ""'Strategy'""]",2017
12819,3.2,0,1,0,0,0,0,"Nov 19, 2020","[""'Racing'"", ""'Simulator'"", ""'Sport'""]",2020
12820,3.2,1,1,0,1,1,1,TBD,"[""'Adventure'"", ""'RPG'""]",2024
12821,3.2,0,0,1,0,0,0,"Dec 31, 1987","[""'RPG'""]",1987
12822,2.7,7,0,3,4,1,0,"Jun 26, 2014","[""'Adventure'"", ""'Visual Novel'""]",2014
12823,3.2,2,0,0,0,0,0,TBD,"[""'Platform'""]",2024
12824,3.2,2,0,1,1,0,0,"Aug 29, 2016","[""'Indie'"", ""'Puzzle'""]",2016
12825,3.2,0,0,2,0,0,0,"Feb 19, 2015","[""'Indie'"", ""'Simulator'""]",2015
12826,3.2,3,0,4,0,1,0,"May 27, 1991","[""'Platform'""]",1991
12827,3.2,0,1,0,0,1,0,"May 28, 1993",[],1993
12828,3.2,1,0,7,6,6,0,TBD,[],2024
12829,3.2,1,0,0,2,3,0,"Dec 26, 2019","[""'Adventure'"", ""'Indie'"", ""'RPG'""]",2019
12830,3.2,4,0,5,22,12,0,"Dec 31, 2023","[""'Adventure'"", ""'Indie'"", ""'Platform'""]",2023
12831,3.2,1,0,1,0,1,1,TBD,[],2024
12832,3.2,0,0,2,0,0,0,"Dec 23, 2022","[""'Adventure'"", ""'Arcade'"", ""'Brawler'"", ""'Indie'""]",2022
12833,3.2,1,0,0,1,2,0,"Dec 31, 1998","[""'Racing'"", ""'Real Time Strategy'"", ""'Shooter'"", ""'Strategy'""]",1998
12834,3.2,0,0,1,0,0,0,"Feb 01, 1988","[""'Adventure'""]",1988
12835,3.3,4,0,0,0,1,0,"Apr 01, 2012","[""'Indie'"", ""'Visual Novel'""]",2012
12836,3.2,0,0,0,1,0,0,TBD,"[""'Simulator'""]",2024
12837,3.2,1,0,0,0,0,0,"Dec 06, 2012",[],2012
12838,3.2,1,0,0,0,0,0,TBD,"[""'Strategy'""]",2024
12839,2.8,3,0,1,0,2,0,"Nov 21, 2019","[""'Adventure'"", ""'Indie'""]",2019
12840,3.2,0,0,0,1,0,0,TBD,[],2024
12841,3.2,0,0,0,2,0,0,"Jan 16, 2021","[""'Adventure'"", ""'Strategy'""]",2021
12842,3.2,0,0,1,0,0,0,TBD,[],2024
12843,3.2,0,0,2,0,0,0,"Jun 30, 2023","[""'Adventure'"", ""'Indie'"", ""'RPG'"", ""'Strategy'""]",2023
12844,3.2,1,0,0,0,0,0,"Dec 31, 2006","[""'Point-and-Click'""]",2006
12845,3.2,1,0,1,0,2,0,"Apr 03, 2021","[""'Adventure'""]",2021
12846,3.4,218,2,27,14,19,8,"Jun 09, 2019","[""'Adventure'"", ""'RPG'"", ""'Shooter'""]",2019
12847,2.7,248,1,63,22,17,11,"Apr 15, 2011","[""'Indie'"", ""'Shooter'"", ""'Strategy'""]",2011
12848,3.2,1,0,0,0,3,0,"Dec 31, 2023","[""'Indie'"", ""'Point-and-Click'""]",2023
12849,3.2,0,0,0,3,1,0,TBD,"[""'Racing'""]",2024
12850,3.2,1,0,0,0,0,0,TBD,[],2024
12851,1.2,8,0,1,1,0,1,"Nov 14, 2018","[""'RPG'""]",2018
12852,3.2,0,0,0,1,1,0,TBD,"[""'Indie'"", ""'Platform'"", ""'Racing'""]",2024
12853,3.2,0,0,0,1,0,0,TBD,"[""'Indie'"", ""'Platform'"", ""'Puzzle'""]",2024
