"Rating","Plays","Playing","Backlogs","Wishlist","Lists","Reviews","Release_Date","Genres"
"2.9","1.8K","1","76","42","110","37","Oct 06, 2005","['Fighting']"
"3.5","1.7K","8","183","26","165","26","Nov 09, 2000","['Shooter']"
"3.6","770","5","66","52","114","21","Jun 25, 1997","['Fighting']"
"2.9","2.2K","4","64","22","86","58","Oct 08, 2012","['Arcade', 'Puzzle', 'Strategy']"
"3.3","1.4K","18","494","190","201","37","Oct 05, 2010","['Adventure', 'Platform', 'Puzzle']"
"3.6","1.3K","13","401","187","261","88","Feb 16, 1995","['Adventure', 'Platform']"
"3.2","1.3K","4","42","18","68","24","Oct 20, 2009","['Fighting', 'Sport']"
"3.2","384","1","269","92","124","54","Oct 18, 2017","['Indie', 'Simulator', 'Visual Novel']"
"4.2","1K","57","347","100","166","48","Dec 26, 2013","['Adventure', 'RPG']"
"3.7","1.5K","9","129","88","255","52","Jul 01, 1999","['Fighting']"
"3.6","1.4K","16","592","305","251","59","Jul 24, 2008","['Adventure', 'Indie', 'Platform', 'Simulator']"
"3.5","1.1K","3","130","69","138","46","Jul 21, 2005","['Sport']"
"3.1","1.6K","29","573","135","232","51","Apr 08, 2014","['Adventure', 'Puzzle', 'RPG']"
"2.7","1.6K","4","296","175","179","55","Sep 16, 2005","['Adventure']"
"3.7","1.9K","10","285","80","125","74","Mar 25, 2014","['Adventure', 'Shooter']"
"3.2","2.5K","8","61","16","123","81","Sep 24, 2013","['Sport']"
"2.7","1.5K","16","372","136","177","87","Nov 12, 2008","['Adventure', 'Platform', 'Quiz/Trivia', 'Racing']"
"3.0","1.7K","20","247","44","123","21","Apr 16, 2014","['Arcade', 'Platform', 'Racing', 'Sport']"
"3.3","1.3K","8","206","103","147","37","Oct 19, 2001","['Adventure', 'Brawler']"
"4.1","976","79","818","383","272","52","Jan 14, 2016","['RPG']"
"4.0","1.9K","116","280","162","269","137","Nov 19, 2015","['Arcade', 'Fighting']"
"2.8","1.9K","38","316","216","119","120","Dec 17, 2015","['Arcade', 'Fighting']"
"3.3","1.6K","82","1K","247","218","55","Aug 01, 2017","['Adventure', 'Indie', 'Shooter', 'Simulator', 'Strategy']"
"1.8","1.4K","10","244","90","210","57","Mar 20, 2012","['Adventure', 'Shooter']"
"3.4","1.2K","7","357","150","159","34","Mar 23, 2004","['Shooter', 'Tactical']"
"2.9","532","33","468","269","184","48","Jun 09, 2011","['Adventure', 'RPG', 'Shooter', 'Sport']"
"3.4","1.1K","29","414","196","181","92","Aug 20, 2014","['Adventure', 'Indie', 'Music', 'Platform', 'Shooter']"
"3.5","1.4K","7","455","124","195","55","Apr 20, 2004","['Shooter']"
"3.6","468","31","509","877","162","76","Dec 02, 2021","['Adventure', 'Indie']"
"3.8","513","6","239","126","155","40","Dec 18, 2003","['Brawler', 'Platform', 'Shooter']"
"3.4","53","14","83","116","44","12","Mar 14, 2023","['Adventure', 'Indie', 'Platform']"
"2.4","853","0","18","6","45","60","Mar 25, 2011","['Shooter']"
"2.6","1.1K","4","58","26","70","49","Aug 18, 2013","['Adventure', 'Platform', 'Racing', 'RPG']"
"3.1","1.3K","21","297","159","188","59","Dec 17, 2011","['Adventure', 'Platform', 'Shooter']"
"2.8","1.1K","1","71","29","64","34","Oct 28, 2003","['Sport']"
"3.9","1K","13","306","218","210","43","Oct 17, 2005","['Brawler', 'Fighting']"
"4.3","845","18","408","224","229","23","Sep 21, 2000","['RPG']"
"2.6","980","10","138","5","95","37","Sep 05, 2019","['Simulator', 'Sport']"
"3.2","3","0","3","36","20","0","Jun 30, 2023","['Indie', 'Point-and-Click', 'Puzzle', 'Simulator']"
"2.9","1.4K","6","326","167","201","73","Aug 21, 2008","['Adventure', 'Platform', 'Shooter']"
"2.5","2.1K","9","92","56","100","61","Jun 26, 2007","['Brawler']"
"3.4","812","14","295","138","217","31","Dec 11, 2003","['Adventure', 'Puzzle', 'Shooter']"
"3.8","1.8K","4","83","50","139","69","Dec 20, 2007","['Fighting']"
"3.0","1.8K","4","120","45","196","62","Jan 22, 1985","['Adventure', 'Arcade', 'Platform']"
"3.7","1.8K","9","152","110","221","44","Oct 25, 2005","['Fighting', 'Strategy']"
"3.2","1.4K","9","247","123","164","39","Sep 26, 1997","['Adventure', 'Platform', 'Puzzle']"
"3.1","1.2K","20","319","144","170","26","Feb 28, 1997","['Adventure', 'Shooter']"
"3.5","704","22","571","221","158","41","Mar 30, 2017","['Adventure', 'Indie', 'Point-and-Click', 'Puzzle']"
"4.0","1.3K","18","237","95","140","29","Dec 02, 2002","['Adventure', 'RPG']"
"3.3","1.6K","23","163","141","110","62","Mar 03, 2017","['Puzzle']"
"3.5","893","29","542","311","221","37","Nov 01, 2005","['Adventure', 'Brawler', 'RPG']"
"1.6","989","8","301","77","154","106","Jun 21, 2016","['Adventure', 'Arcade', 'Platform', 'Shooter']"
"3.0","2.1K","4","65","11","100","56","Sep 27, 2016","['Sport']"
"2.5","1.2K","13","367","271","223","66","Mar 13, 2012","['Adventure']"
"4.2","496","17","468","312","164","41","Jan 14, 2010","['Adventure', 'Point-and-Click', 'Puzzle', 'Quiz/Trivia']"
"3.7","943","10","175","86","160","62","Dec 15, 2005","['Adventure', 'Platform']"
"2.7","691","3","71","47","137","33","Aug 25, 1994","['Fighting']"
"3.2","2","0","6","47","36","0","Dec 31, 2023","['Adventure', 'Indie', 'Puzzle']"
"3.2","765","2","123","59","66","24","Mar 18, 2014","['Arcade', 'Indie', 'Simulator', 'Strategy']"
"4.0","1.7K","14","271","123","130","36","Sep 13, 2007","['Adventure', 'Turn Based Strategy']"
"3.8","1.7K","48","369","134","176","54","Dec 10, 2011","['Adventure', 'RPG']"
"4.2","1.4K","60","889","204","212","30","Sep 13, 2016","['Adventure', 'Puzzle', 'RPG', 'Shooter']"
"3.3","1K","95","469","293","177","87","Feb 28, 2003","['Visual Novel']"
"3.7","2.2K","32","225","121","173","83","Jul 16, 2015","['Card & Board Game', 'Indie', 'Puzzle', 'Simulator']"
"4.3","1.6K","26","321","70","111","40","Oct 02, 2014","['Adventure', 'RPG']"
"3.2","1.4K","24","411","123","107","38","Feb 07, 2012","['Brawler', 'RPG']"
"3.2","3","0","56","237","73","0","Dec 31, 2023","['RPG', 'Strategy', 'Tactical', 'Turn Based Strategy']"
"3.1","1.4K","7","215","66","71","39","May 14, 2010","['Arcade', 'Indie', 'Music', 'Platform']"
"3.1","1.2K","14","777","235","274","54","Sep 25, 2014","['Adventure', 'Indie', 'Puzzle']"
"4.3","589","60","503","228","138","37","Feb 24, 2020","['Adventure', 'Platform', 'RPG', 'Shooter']"
"2.8","970","10","185","43","95","28","Dec 01, 2014","['Adventure', 'Racing']"
"3.5","1.3K","55","439","158","194","89","Jul 11, 2013","['Puzzle', 'RPG', 'Turn Based Strategy']"
"2.6","726","36","388","160","123","59","Aug 10, 2018","['Adventure', 'Indie', 'Shooter']"
"3.5","1.2K","8","178","85","207","38","Dec 23, 1997","['Racing', 'Simulator']"
"2.6","1.9K","403","83","42","107","233","Jul 30, 2015","['RPG', 'Tactical', 'Turn Based Strategy']"
"2.5","1.7K","9","56","11","80","46","Sep 28, 2018","['Sport']"
"3.7","932","10","299","154","148","63","Jul 10, 2008","['Adventure', 'Platform']"
"3.8","1.3K","124","96","24","128","94","Feb 22, 2013","['Adventure', 'RPG']"
"2.7","692","3","86","38","60","18","Oct 15, 2007","['Sport']"
"4.2","5","0","4","4","5","3","May 25, 2023","['Indie']"
"3.6","1.4K","42","127","149","192","114","Jun 04, 2020","['Arcade', 'Card & Board Game']"
"3.5","1.3K","24","413","212","164","37","Dec 20, 2007","['Music', 'Real Time Strategy', 'Strategy']"
"3.1","1.5K","59","501","368","308","104","Mar 29, 2019","['Platform']"
"4.0","609","31","691","376","220","34","Nov 03, 2010","['Adventure', 'RPG']"
"3.2","1.2K","17","400","152","167","24","Aug 08, 2003","['Quiz/Trivia', 'RPG', 'Simulator', 'Strategy']"
"3.2","1.4K","3","94","38","94","32","May 25, 2004","['Adventure', 'Platform', 'RPG']"
"3.5","911","73","827","477","243","68","Apr 23, 2020","['Adventure', 'RPG']"
"3.3","1.1K","9","398","195","215","57","Nov 06, 2013","['Adventure', 'Platform', 'Shooter', 'Strategy']"
"3.8","1K","22","198","69","189","55","Sep 25, 1997","['Adventure']"
"3.7","892","7","116","68","102","26","Jan 22, 2002","['Shooter']"
"4.4","596","19","120","103","152","27","Dec 30, 2004","['Adventure', 'Visual Novel']"
"3.0","1.4K","9","413","122","134","41","Dec 17, 2013","['Adventure']"
"3.7","1.1K","14","483","269","243","36","Sep 13, 2000","['Adventure', 'Shooter']"
"3.4","866","10","122","48","92","26","Oct 21, 2008","['Arcade', 'Racing']"
"3.4","1.8K","50","318","100","161","112","Apr 27, 2018","['Adventure', 'Indie', 'Simulator', 'Visual Novel']"
"3.4","1.2K","5","102","16","74","83","May 17, 2011","['RPG', 'Shooter']"
"4.7","17","0","104","836","128","10","TBD","['Adventure', 'Brawler']"
"2.9","607","21","421","239","201","54","Sep 20, 1996","['RPG']"
"3.2","1.4K","7","153","40","215","84","Nov 26, 1993","['Arcade', 'Puzzle', 'Strategy']"
"3.6","789","69","883","257","247","48","Feb 07, 2013","['Adventure', 'RPG']"
"3.1","1.4K","12","281","67","96","14","Jul 03, 2009","['Adventure', 'Indie', 'Platform', 'Puzzle']"
"2.8","743","3","60","34","82","26","Dec 20, 1985","['Arcade', 'Strategy']"
"3.2","664","3","65","41","159","35","Jun 05, 1995","['Arcade', 'Fighting']"
"3.3","615","20","694","158","136","28","Feb 15, 2015","['Adventure', 'Indie', 'Real Time Strategy', 'RPG', 'Strategy']"
"3.2","0","0","6","23","17","0","Dec 31, 2023","['Indie', 'Simulator', 'Strategy']"
"2.5","1.5K","2","101","56","170","51","Sep 11, 1997","['Fighting']"
"3.4","2K","10","52","38","112","66","Oct 17, 2018","['Indie', 'Puzzle', 'Quiz/Trivia', 'Strategy']"
"3.3","1.2K","11","332","97","238","56","Oct 04, 1991","['Adventure', 'Platform']"
"4.1","338","4","193","316","147","44","Feb 20, 2016","['Adventure']"
"2.8","1.6K","2","113","52","88","45","Jun 25, 2007","['Adventure']"
"2.7","1.5K","6","397","171","264","63","Dec 23, 1992","['Adventure']"
"3.2","1.4K","5","195","84","193","52","Jun 11, 1999","['Sport']"
"2.8","1.6K","7","74","29","112","53","Sep 18, 2007","['Simulator', 'Strategy']"
"2.8","1.9K","27","50","13","82","70","Jun 02, 2015","['MOBA']"
"3.5","1.4K","4","107","77","90","38","Apr 30, 2013","['Arcade', 'Fighting', 'Indie', 'Sport']"
"4.2","934","23","169","92","226","62","Feb 26, 2009","['Arcade', 'Fighting']"
"3.5","1.7K","22","154","84","151","75","Aug 01, 2003","['Adventure', 'Arcade', 'Pinball']"
"4.0","827","40","423","127","102","41","Jul 24, 2018","['Platform', 'Shooter']"
"2.5","1.1K","2","100","45","68","36","Oct 10, 2006","['Adventure', 'RPG']"
"3.2","827","14","718","218","196","41","Aug 15, 2017","['Adventure', 'Indie']"
"2.5","1.1K","14","375","101","124","27","Sep 22, 2006","['Adventure', 'Racing', 'Shooter']"
"2.4","1.1K","3","170","149","147","84","Dec 31, 2008","['Adventure', 'Puzzle']"
"2.4","1.2K","19","95","83","94","59","Dec 13, 2018","['Adventure', 'Indie', 'RPG', 'Shooter', 'Simulator', 'Tactical']"
"3.4","326","34","89","248","123","48","Nov 08, 2022","['Indie', 'Puzzle']"
"4.0","843","5","167","142","238","52","Oct 14, 2004","['Puzzle']"
"4.3","663","18","162","52","82","36","Aug 29, 2017","['Strategy', 'Turn Based Strategy']"
"3.8","921","4","112","118","151","47","Jan 26, 2010","['Fighting']"
"2.4","1.3K","7","115","91","164","79","Sep 19, 2017","['Fighting']"
"3.3","1.3K","4","224","101","196","36","Sep 01, 1993","['Brawler', 'Shooter']"
"3.5","1.5K","23","280","119","205","43","Nov 09, 2006","['Simulator', 'Strategy']"
"3.0","1.3K","6","168","78","120","25","Sep 25, 2006","['Platform', 'Puzzle']"
"3.8","1.1K","4","111","85","133","34","Jan 21, 2009","['Racing', 'Simulator', 'Sport']"
"2.6","513","6","168","118","172","27","Feb 13, 2003","['Shooter']"
"3.5","1.2K","62","615","117","255","76","Oct 16, 2018","['Adventure', 'Brawler', 'Puzzle']"
"1.5","735","6","147","44","104","47","Feb 12, 2013","['Shooter']"
"4.0","857","11","397","146","171","30","Jun 24, 2003","['Strategy', 'Tactical', 'Turn Based Strategy']"
"3.2","6","1","14","33","8","1","Jun 05, 2023","['Adventure', 'Indie', 'Platform', 'Puzzle']"
"3.7","1.1K","20","78","20","80","82","Mar 06, 2007","[]"
"2.8","1.1K","14","474","257","253","84","Oct 06, 2016","['Adventure', 'RPG']"
"3.7","1K","16","146","90","188","72","Nov 22, 2013","['Fighting']"
"3.3","1.2K","2","38","17","58","28","Mar 16, 2012","['Sport']"
"3.2","1.1K","11","287","36","99","16","Dec 07, 2011","['Adventure', 'Platform', 'Puzzle']"
"3.9","808","9","301","229","282","102","Mar 18, 1999","['Music']"
"3.6","476","16","389","180","151","19","Nov 01, 1996","['Adventure', 'Brawler']"
"3.2","740","75","430","384","235","99","Dec 03, 2020","['Adventure', 'Indie', 'RPG']"
"3.0","1.2K","14","325","46","128","22","Oct 27, 2009","['Brawler', 'RPG']"
"3.7","1.1K","5","111","73","180","36","Jul 28, 1997","['Arcade', 'Fighting']"
"3.2","921","9","282","171","216","93","Sep 20, 2018","['Adventure', 'Indie', 'Puzzle']"
"3.1","634","4","72","29","73","48","Oct 16, 2015","['Adventure', 'Arcade', 'Indie', 'Platform', 'Puzzle']"
"3.7","509","14","196","104","75","42","Mar 14, 2016","['Indie', 'Shooter']"
"3.0","2.1K","17","154","54","91","55","Aug 10, 2016","['Adventure', 'Indie', 'RPG', 'Simulator', 'Strategy']"
"3.0","1.5K","16","322","138","214","50","Nov 11, 2006","['Adventure', 'Shooter']"
"3.8","1.2K","1","154","55","164","24","Oct 25, 2005","['Simulator', 'Strategy', 'Turn Based Strategy']"
"3.9","695","17","626","242","207","33","Apr 20, 2000","['Adventure', 'Platform', 'RPG', 'Shooter']"
"3.4","1.4K","5","44","21","92","27","Nov 10, 2006","['Fighting', 'Sport']"
"3.0","1.8K","5","108","50","94","45","Jan 31, 1999","['Adventure', 'Platform']"
"0.7","934","1","88","58","89","83","May 31, 1999","['Adventure', 'Shooter']"
"3.1","849","3","174","73","140","34","Dec 03, 1996","['Adventure', 'Shooter']"
"3.4","889","2","239","144","186","106","Nov 22, 2018","['Adventure', 'Indie']"
"3.6","839","26","326","185","119","55","Aug 10, 2017","['Adventure', 'Indie', 'RPG']"
"3.0","1.1K","13","325","131","120","39","Dec 21, 2006","['Adventure', 'Platform', 'Shooter']"
"3.2","914","14","300","110","137","28","May 11, 2010","['Adventure', 'Shooter']"
"3.5","1.2K","24","423","243","216","52","Jun 25, 2007","['Shooter']"
"3.8","685","28","529","187","162","58","Apr 30, 2013","['Adventure', 'Shooter']"
"3.7","351","5","252","144","64","21","Jul 01, 2008","['Adventure', 'Puzzle', 'Simulator']"
"3.5","873","17","368","174","163","28","Jul 25, 2013","['Brawler', 'RPG']"
"2.7","1.3K","5","16","7","46","28","Sep 22, 2011","['Puzzle']"
"3.5","1.1K","65","433","170","178","89","Jun 14, 2007","['Adventure', 'Brawler']"
"3.5","624","26","522","208","159","23","Feb 27, 2003","['Adventure', 'RPG']"
"1.6","243","7","217","95","84","22","May 23, 2000","['Puzzle', 'Shooter']"
"3.1","904","3","113","24","44","27","Oct 09, 2012","['Strategy', 'Turn Based Strategy']"
"2.7","1.2K","7","66","9","56","36","Nov 20, 2012","['Arcade', 'RPG', 'Shooter', 'Tactical']"
"1.7","1.3K","1","82","55","104","47","Dec 02, 2004","['Racing']"
"3.3","240","4","140","69","84","37","Dec 04, 1997","['Adventure', 'Shooter']"
"3.7","1.1K","25","327","192","230","63","Oct 23, 2007","['Adventure', 'Platform', 'RPG']"
"2.8","1.2K","6","249","135","146","34","Nov 02, 2004","['Shooter']"
"3.3","1.3K","6","191","81","161","45","Jan 13, 2002","['Adventure', 'Shooter']"
"3.4","234","4","56","24","50","23","May 26, 2020","['Fighting']"
"2.5","1.1K","2","94","55","99","51","Nov 22, 1995","['Platform']"
"2.6","1.4K","51","256","57","93","80","Dec 13, 2013","['Adventure', 'Indie', 'RPG', 'Shooter', 'Simulator', 'Strategy']"
"3.8","993","46","872","333","223","54","Apr 23, 2015","['Adventure', 'RPG']"
"3.2","3","5","25","78","34","0","Jun 15, 2023","['Adventure', 'Indie', 'Platform', 'Puzzle']"
"4.1","1.1K","11","132","91","130","32","Nov 30, 2006","['Arcade', 'Shooter']"
"3.5","524","36","274","86","116","39","Dec 11, 2018","['Adventure', 'Arcade', 'Indie', 'RPG', 'Simulator', 'Strategy']"
"3.2","759","39","290","202","185","51","Jul 19, 2019","['Brawler', 'RPG']"
"3.6","440","2","37","18","39","30","Sep 12, 2013","['Indie', 'Puzzle', 'Strategy']"
"3.6","1.1K","46","132","81","148","70","Feb 14, 2020","['Fighting']"
"3.5","1.9K","2","76","46","137","81","Jul 08, 2010","['Quiz/Trivia']"
"1.7","420","40","214","159","171","144","Jan 17, 2019","['Adventure', 'Indie', 'RPG']"
"2.2","1.7K","13","95","6","65","75","Jul 05, 2015","['Adventure', 'Brawler', 'Platform', 'RPG']"
"3.9","966","13","171","108","137","28","Apr 18, 2003","['RPG', 'Simulator']"
"2.8","1.1K","4","51","21","74","39","Jun 27, 2008","['Music']"
"2.7","734","14","308","94","117","34","Jun 26, 2008","['RPG']"
"3.6","559","25","676","142","135","32","Nov 10, 2016","['Adventure', 'RPG', 'Strategy']"
"3.6","670","91","411","42","152","36","Oct 21, 2016","['Adventure']"
"3.9","536","35","964","385","251","38","Oct 23, 2008","['RPG']"
"3.2","800","26","492","162","118","40","Jul 15, 2014","['Adventure', 'Indie', 'Platform']"
"4.1","699","13","356","301","326","38","Nov 22, 2001","['Music', 'Shooter']"
"4.0","148","8","207","99","79","15","Aug 04, 2005","['Shooter']"
"3.9","1.3K","7","125","86","139","50","Apr 12, 2005","['Racing']"
"3.6","528","3","54","55","100","39","Apr 01, 1993","['Brawler', 'Platform']"
"3.4","1.3K","2","100","65","141","41","Jul 14, 1992","['Music', 'Puzzle', 'Simulator']"
"3.5","1.2K","29","180","98","117","58","Aug 22, 2008","['RPG', 'Sport']"
"2.9","647","21","341","109","136","49","Nov 17, 2012","['Adventure', 'Brawler']"
"2.3","631","8","259","104","152","38","Jan 26, 1999","['Adventure', 'Platform']"
"4.1","393","35","484","338","252","19","Jun 09, 2005","['Adventure', 'Indie', 'RPG', 'Shooter']"
"3.4","841","1","98","62","169","55","Sep 28, 1991","['Brawler', 'Fighting', 'Platform']"
"4.1","865","12","184","64","79","31","Nov 12, 2013","['Strategy', 'Turn Based Strategy']"
"3.2","1","0","95","272","47","0","Sep 30, 2023","['Adventure', 'RPG']"
"3.3","460","6","158","33","53","32","Sep 14, 2017","['Adventure', 'Indie', 'Point-and-Click', 'Puzzle', 'RPG']"
"3.8","771","15","277","114","234","48","Jul 22, 1993","['Brawler', 'Platform']"
"4.1","1.3K","15","161","118","345","70","Aug 03, 2001","['Arcade', 'Fighting']"
"4.0","1.2K","39","86","50","51","24","Oct 30, 2015","['Adventure', 'Indie', 'RPG', 'Shooter']"
"2.8","1.4K","13","170","56","120","48","Nov 15, 2013","['Adventure', 'Racing']"
"3.7","1.2K","3","140","113","214","50","Sep 01, 1991","['Arcade', 'Shooter']"
"3.6","805","15","195","45","98","28","Sep 05, 2011","['Arcade', 'Fighting']"
"2.5","1.1K","0","131","49","150","63","May 12, 1989","['Adventure', 'Platform']"
"2.0","1.1K","4","43","49","96","80","Mar 03, 2017","['Arcade']"
"3.4","1K","89","49","18","85","57","Apr 30, 2020","['Card & Board Game', 'Strategy', 'Turn Based Strategy']"
"3.3","1.6K","49","519","187","200","59","Sep 17, 2015","['Adventure', 'RPG', 'Tactical']"
"3.9","729","77","151","166","180","56","Aug 17, 2020","['Simulator']"
"3.4","1.2K","89","654","236","229","76","Jun 09, 2018","['Adventure', 'Platform', 'Puzzle']"
"2.0","1.7K","3","114","56","181","86","Mar 12, 2015","['Card & Board Game']"
"3.1","805","5","253","125","111","35","Oct 18, 2005","['Shooter']"
"3.7","762","61","211","150","60","47","Mar 30, 2020","['Adventure', 'RPG', 'Simulator', 'Strategy', 'Tactical']"
"3.2","1","0","9","65","25","0","Sep 05, 2023","['Adventure', 'Indie', 'Puzzle']"
"3.8","561","13","296","196","163","46","Oct 16, 2017","['Adventure', 'Platform']"
"3.4","252","0","125","119","78","16","Feb 19, 2009","['Arcade', 'Indie', 'Sport']"
"4.0","9","7","5","15","7","2","Jun 16, 2023","['Racing', 'Simulator', 'Sport']"
"3.4","707","6","375","108","158","55","Feb 27, 2017","['Adventure', 'Indie', 'Puzzle']"
"3.3","959","9","281","167","114","39","Dec 04, 2009","['Adventure', 'RPG', 'Shooter', 'Tactical']"
"3.3","1.1K","12","585","122","193","23","Nov 20, 1998","['Adventure', 'Puzzle', 'Shooter']"
"2.9","1.5K","2","45","30","136","47","Aug 01, 1981","['Arcade', 'Platform']"
"3.4","657","0","125","135","130","32","Aug 20, 2012","['Adventure', 'Indie', 'Puzzle']"
"3.4","780","11","234","68","89","21","Sep 29, 1999","['Adventure', 'Puzzle', 'Shooter']"
"3.5","1.3K","11","140","66","196","77","Sep 25, 2000","['Puzzle', 'Strategy']"
"3.5","986","1","69","36","104","24","Oct 10, 1996","['Arcade', 'Fighting']"
"3.6","1.3K","1","71","39","94","28","Oct 15, 1997","['Real Time Strategy', 'Strategy']"
"4.5","1.2K","15","148","102","163","52","Mar 29, 2007","['Adventure', 'RPG']"
"2.6","949","27","181","86","73","66","Dec 29, 2014","['Adventure', 'Indie', 'Simulator', 'Visual Novel']"
"3.0","1.2K","0","64","45","82","22","Sep 30, 1997","['Arcade', 'Platform']"
"3.1","975","5","147","61","102","39","Sep 04, 2007","['Shooter']"
"3.8","1K","3","41","37","103","22","Apr 27, 2010","['Fighting']"
"3.5","736","88","421","134","115","50","Aug 15, 2018","['Adventure', 'Indie', 'Strategy']"
"3.5","1.2K","6","145","90","139","41","Nov 13, 2003","['Adventure', 'Platform', 'Shooter']"
"2.8","511","9","341","80","73","21","Oct 07, 2014","['Adventure', 'RPG', 'Strategy']"
"2.5","1.1K","15","212","64","98","58","Mar 07, 2017","['Adventure', 'Puzzle']"
"2.7","1.2K","42","95","11","66","59","Jan 28, 2013","['Shooter', 'Simulator', 'Tactical']"
"3.0","727","0","60","31","84","21","Dec 01, 1994","['Arcade', 'Racing']"
"3.1","544","7","52","21","38","16","Oct 02, 2013","['Indie', 'Music']"
"4.0","963","8","101","76","195","31","Nov 22, 1999","['Shooter']"
"3.7","355","18","501","183","138","20","Jun 28, 2002","['Adventure', 'Puzzle', 'RPG']"
"3.2","0","0","4","24","16","0","Dec 31, 2024","['Adventure', 'Platform']"
"3.0","676","4","95","80","99","44","Jul 14, 2005","['Music']"
"2.8","1.4K","16","192","64","140","66","Nov 03, 2015","['Adventure', 'Arcade', 'Racing', 'Simulator']"
"4.2","1.6K","13","34","16","104","41","Nov 13, 2008","['RPG']"
"3.9","2.2K","7","47","13","96","93","May 09, 2012","[]"
"3.8","1.4K","96","474","81","152","98","Aug 13, 2013","['Real Time Strategy', 'Simulator', 'Strategy']"
"3.7","1.2K","6","135","95","180","40","Nov 01, 1998","['Shooter']"
"4.4","1.1K","9","109","51","96","23","Nov 30, 1998","['Real Time Strategy', 'Strategy']"
"2.9","1.1K","19","285","117","197","34","Nov 13, 2007","['Shooter']"
"2.7","1.3K","3","48","43","84","47","Oct 23, 2003","['Brawler', 'Fighting']"
"3.6","595","25","621","249","188","25","Dec 08, 2005","['Adventure', 'RPG']"
"4.3","639","41","304","279","179","54","Aug 08, 2006","['Indie', 'RPG', 'Simulator', 'Strategy', 'Turn Based Strategy']"
"3.4","1.2K","4","205","84","243","57","Sep 27, 1996","['Racing', 'Sport']"
"3.6","1K","7","249","134","221","58","Dec 16, 2004","['Adventure', 'Platform']"
"4.2","1.2K","89","266","93","127","44","Nov 14, 2019","['Real Time Strategy', 'Strategy']"
"3.3","749","11","240","161","134","44","Sep 07, 2007","['Shooter']"
"3.2","3","0","14","51","17","0","Jun 28, 2023","['Adventure', 'Indie']"
"3.5","800","4","111","80","129","21","Oct 31, 1996","['Fighting', 'Racing', 'Shooter']"
"3.8","814","52","905","119","195","36","Dec 06, 2016","['Indie', 'Real Time Strategy', 'Simulator', 'Strategy', 'Tactical']"
"2.9","1K","2","129","69","104","49","Jul 24, 1990","['Arcade', 'Brawler', 'Music', 'Platform', 'Shooter']"
"3.7","1K","5","101","15","63","67","Sep 20, 2011","['RPG', 'Shooter']"
"3.6","708","22","419","216","194","24","Dec 15, 1995","['RPG']"
"2.4","1K","5","166","84","110","34","Nov 17, 2009","['Adventure']"
"3.7","1.2K","34","197","112","121","90","Dec 08, 2016","['Adventure', 'RPG']"
"3.6","404","10","62","31","49","21","Sep 13, 2005","['Arcade', 'Racing']"
"4.1","891","18","538","265","231","54","Dec 14, 2017","['Adventure', 'Arcade', 'Indie', 'Point-and-Click', 'Puzzle', 'RPG']"
"3.5","673","33","521","192","179","50","Jul 29, 2011","['Indie', 'RPG', 'Shooter']"
"4.1","72","11","231","327","120","12","Oct 09, 1997","[]"
"2.6","581","1","84","50","106","21","Nov 25, 1991","['Fighting']"
"3.4","517","7","212","194","132","29","Aug 16, 2005","['Shooter']"
"3.0","1.3K","17","294","111","170","72","Jul 08, 2008","['Adventure', 'Indie', 'Platform', 'Puzzle']"
"3.3","275","28","180","106","74","47","Dec 03, 2021","['Adventure', 'Arcade', 'Indie', 'Shooter']"
"3.3","1.8K","109","137","35","130","57","Aug 18, 2012","['Adventure', 'RPG']"
"3.2","1.1K","13","466","76","179","52","Oct 19, 2010","['Adventure', 'RPG', 'Turn Based Strategy']"
"3.4","933","40","224","209","163","128","Jan 29, 2020","['Adventure', 'Indie', 'Platform', 'Puzzle']"
"2.5","877","3","57","29","64","36","Oct 26, 2005","['Adventure']"
"3.6","942","13","374","145","210","53","Oct 21, 1994","['Adventure', 'Platform', 'RPG']"
"4.3","1.1K","0","135","96","76","30","Nov 07, 2003","['Adventure', 'Platform', 'Puzzle', 'RPG']"
"2.8","1.2K","3","33","13","70","60","Dec 08, 2010","['Platform']"
"3.9","902","5","152","55","98","16","Sep 22, 2004","['Real Time Strategy', 'Simulator', 'Strategy', 'Tactical', 'Turn Based Strategy']"
"3.6","611","60","152","38","68","41","Feb 02, 2016","['Indie', 'Racing', 'Simulator']"
"3.5","1.1K","92","439","311","165","98","Jan 30, 2019","['Adventure', 'Indie']"
"3.7","768","194","213","313","214","99","Mar 04, 2022","['Racing', 'Simulator', 'Sport']"
"3.7","992","8","155","48","86","39","Dec 12, 2013","['Indie', 'Point-and-Click', 'Puzzle']"
"3.1","806","11","114","35","73","32","Feb 28, 2012","['Racing', 'Sport']"
"3.4","595","6","286","199","128","38","Sep 19, 2014","['Adventure', 'Indie', 'Point-and-Click']"
"4.0","855","22","521","59","115","52","Nov 04, 2014","['Adventure', 'Shooter']"
"2.7","937","2","86","35","73","39","Oct 24, 2005","['Adventure', 'Platform']"
"3.4","747","43","564","171","154","25","Oct 25, 2016","['Adventure', 'RPG', 'Tactical']"
"3.9","447","8","350","304","205","34","Oct 31, 1996","['Adventure', 'Point-and-Click', 'Puzzle']"
"3.2","0","2","97","333","58","1","Dec 31, 2023","['RPG']"
"3.4","513","45","513","325","144","56","Dec 12, 2019","['Adventure', 'RPG', 'Simulator', 'Visual Novel']"
