"Rating","Plays","Playing","Backlogs","Wishlist","Lists","Reviews","Release_Date","Genres"
"4.2","14K","819","5.5K","2.8K","2.2K","1.2K","Mar 19, 2020","['Shooter']"
"3.9","14K","675","5.7K","2.5K","1.9K","812","Oct 29, 2009","['Brawler', 'Shooter']"
"4.4","2.2K","428","1.4K","2K","624","630","Jan 26, 2023","['Indie', 'Platform']"
"3.8","26K","689","3.5K","1.2K","2K","1.2K","Nov 10, 2011","['Adventure', 'RPG']"
"4.3","14K","586","4.8K","2.7K","2.2K","1K","Mar 08, 2019","['Adventure', 'Brawler']"
"4.3","20K","543","3.5K","1.6K","2.6K","958","Nov 21, 1998","['Adventure', 'RPG']"
"2.6","9K","1.2K","357","176","595","1.1K","Oct 04, 2022","['Shooter']"
"4.1","18K","661","3.1K","1.8K","2K","1.2K","Sep 15, 2016","['Adventure', 'RPG', 'Turn Based Strategy']"
"3.8","4.7K","1K","3.9K","2.8K","1.1K","641","Nov 12, 2021","['Adventure', 'RPG', 'Turn Based Strategy']"
"4.1","13K","998","4.8K","2.5K","2.3K","959","Apr 10, 2020","['Adventure', 'RPG']"
"4.1","3.7K","562","2.2K","2.7K","1K","644","Jun 16, 2022","['Indie', 'Platform', 'Shooter', 'Visual Novel']"
"2.8","20K","1.1K","546","54","967","1.4K","Jul 25, 2017","['Adventure', 'RPG', 'Shooter', 'Strategy']"
"4.3","16K","479","2.9K","1.6K","2.4K","857","Sep 22, 2011","['Adventure', 'RPG']"
"4.2","14K","340","3.5K","1.9K","2.3K","795","Sep 03, 1998","['Adventure', 'Puzzle', 'Tactical']"
"3.7","8.1K","1K","899","469","987","878","Dec 17, 2021","['Arcade', 'Indie', 'RPG']"
"3.7","16K","904","4.4K","1.5K","1.7K","1.2K","Nov 15, 2019","['Adventure']"
"4.1","6.5K","611","2.8K","2.6K","1.2K","790","Oct 19, 2021","['Adventure', 'Card & Board Game', 'Indie', 'Puzzle', 'Strategy']"
"4.0","20K","406","4.7K","1.4K","2.1K","744","Aug 21, 2007","['Adventure', 'Puzzle', 'RPG', 'Shooter']"
"3.9","4.2K","527","3K","3.1K","1K","582","Mar 16, 2022","['Adventure', 'Indie', 'Puzzle', 'RPG']"
"3.0","19K","681","693","276","993","1.1K","Aug 04, 2020","['Indie', 'Platform', 'Sport']"
"3.5","20K","236","4.9K","1.1K","1.7K","928","Feb 26, 2013","['Adventure', 'Shooter']"
